constrains,content,difficulty,external_link,images,input,input_example,note,output,output_example,title
,"One day three best friends Petya, Vasya and Tonya decided to form a team and take part in programming contests. Participants are usually offered several problems during programming contests. Long before the start the friends decided that they will implement a problem if at least two of them are sure about the solution. Otherwise, the friends won't write the problem's solution. This contest offers  n  problems to the participants. For each problem we know, which friend is sure about the solution. Help the friends find the number of problems for which they will write a solution.",800,https://codeforces.com/problemset/problem/231/A,,"The first input line contains a single integer n (1 ≤ n ≤ 1000) — the number of problems in the contest. Then n lines contain three integers each, each integer is either 0 or 1. If the first number in the line equals 1, then Petya is sure about the problem's solution, otherwise he isn't sure. The second number shows Vasya's view on the solution, the third number shows Tonya's view. The numbers on the lines are separated by spaces.","The first input line contains a single integer n (1 ≤ n ≤ 1000) — the number of problems in the contest. Then n lines contain three integers each, each integer is either 0 or 1. If the first number in the line equals 1, then Petya is sure about the problem's solution, otherwise he isn't sure. The second number shows Vasya's view on the solution, the third number shows Tonya's view. The numbers on the lines are separated by spaces.","In the first sample Petya and Vasya are sure that they know how to solve the first problem and all three of them know how to solve the second problem. That means that they will write solutions for these problems. Only Petya is sure about the solution for the third problem, but that isn't enough, so the friends won't take it.  In the second sample the friends will only implement the second problem, as Vasya and Tonya are sure about the solution.",Print a single integer — the number of problems the friends will implement on the contest.,Print a single integer — the number of problems the friends will implement on the contest.,A. Team
,"Sometimes some words like "" localization "" or "" internationalization "" are so long that writing them many times in one text is quite tiresome. Let's consider a word  too long , if its length is  strictly more  than  10  characters. All too long words should be replaced with a special abbreviation. This abbreviation is made like this: we write down the first and the last letter of a word and between them we write the number of letters between the first and the last letters. That number is in decimal system and doesn't contain any leading zeroes. Thus, "" localization "" will be spelt as "" l10n "", and "" internationalization » will be spelt as "" i18n "". You are suggested to automatize the process of changing the words with abbreviations. At that all too long words should be replaced by the abbreviation and the words that are not too long should not undergo any changes.",800,https://codeforces.com/problemset/problem/71/A,,The first line contains an integer n (1 ≤ n ≤ 100). Each of the following n lines contains one word. All the words consist of lowercase Latin letters and possess the lengths of from 1 to 100 characters.,The first line contains an integer n (1 ≤ n ≤ 100). Each of the following n lines contains one word. All the words consist of lowercase Latin letters and possess the lengths of from 1 to 100 characters.,,Print n lines. The i-th line should contain the result of replacing of the i-th word from the input data.,Print n lines. The i-th line should contain the result of replacing of the i-th word from the input data.,A. Way Too Long Words
,"One hot summer day Pete and his friend Billy decided to buy a watermelon. They chose the biggest and the ripest one, in their opinion. After that the watermelon was weighed, and the scales showed  w  kilos. They rushed home, dying of thirst, and decided to divide the berry, however they faced a hard problem. Pete and Billy are great fans of even numbers, that's why they want to divide the watermelon in such a way that each of the two parts weighs even number of kilos, at the same time it is not obligatory that the parts are equal. The boys are extremely tired and want to start their meal as soon as possible, that's why you should help them and find out, if they can divide the watermelon in the way they want. For sure, each of them should get a part of positive weight.",800,https://codeforces.com/problemset/problem/4/A,,The first (and the only) input line contains integer number w (1 ≤ w ≤ 100) — the weight of the watermelon bought by the boys.,The first (and the only) input line contains integer number w (1 ≤ w ≤ 100) — the weight of the watermelon bought by the boys.,"For example, the boys can divide the watermelon into two parts of 2 and 6 kilos respectively (another variant — two parts of 4 and 4 kilos).","Print YES, if the boys can divide the watermelon into two parts, each of them weighing even number of kilos; and NO in the opposite case.","Print YES, if the boys can divide the watermelon into two parts, each of them weighing even number of kilos; and NO in the opposite case.",A. Watermelon
,"Little Petya loves presents. His mum bought him two strings of the same size for his birthday. The strings consist of uppercase and lowercase Latin letters. Now Petya wants to compare those two strings  lexicographically . The letters' case does not matter, that is an uppercase letter is considered equivalent to the corresponding lowercase letter. Help Petya perform the comparison.",800,https://codeforces.com/problemset/problem/112/A,,Each of the first two lines contains a bought string. The strings' lengths range from 1 to 100 inclusive. It is guaranteed that the strings are of the same length and also consist of uppercase and lowercase Latin letters.,Each of the first two lines contains a bought string. The strings' lengths range from 1 to 100 inclusive. It is guaranteed that the strings are of the same length and also consist of uppercase and lowercase Latin letters.,"If you want more formal information about the lexicographical order (also known as the "" dictionary order "" or "" alphabetical order ""), you can visit the following site:","If the first string is less than the second one, print ""-1"". If the second string is less than the first one, print ""1"". If the strings are equal, print ""0"". Note that the letters' case is not taken into consideration when the strings are compared.","If the first string is less than the second one, print ""-1"". If the second string is less than the first one, print ""1"". If the strings are equal, print ""0"". Note that the letters' case is not taken into consideration when the strings are compared.",A. Petya and Strings
,"You've got a  5 × 5  matrix, consisting of  24  zeroes and a single number one. Let's index the matrix rows by numbers from  1  to  5  from top to bottom, let's index the matrix columns by numbers from  1  to  5  from left to right. In one move, you are allowed to apply one of the two following transformations to the matrix:    Swap two neighboring matrix rows, that is, rows with indexes  i  and  i  + 1  for some integer  i   (1 ≤  i  < 5) .   Swap two neighboring matrix columns, that is, columns with indexes  j  and  j  + 1  for some integer  j   (1 ≤  j  < 5) .  You think that a matrix looks  beautiful , if the single number one of the matrix is located in its middle (in the cell that is on the intersection of the third row and the third column). Count the minimum number of moves needed to make the matrix beautiful.",800,https://codeforces.com/problemset/problem/263/A,,"The input consists of five lines, each line contains five integers: the j-th integer in the i-th line of the input represents the element of the matrix that is located on the intersection of the i-th row and the j-th column. It is guaranteed that the matrix consists of 24 zeroes and a single number one.","The input consists of five lines, each line contains five integers: the j-th integer in the i-th line of the input represents the element of the matrix that is located on the intersection of the i-th row and the j-th column. It is guaranteed that the matrix consists of 24 zeroes and a single number one.",,Print a single integer — the minimum number of moves needed to make the matrix beautiful.,Print a single integer — the minimum number of moves needed to make the matrix beautiful.,A. Beautiful Matrix
,"The classic programming language of Bitland is Bit++. This language is so peculiar and complicated. The language is that peculiar as it has exactly one variable, called  x . Also, there are two operations:    Operation  ++  increases the value of variable  x  by 1.   Operation  --  decreases the value of variable  x  by 1.  A statement in language Bit++ is a sequence, consisting of exactly one operation and one variable  x . The statement is written without spaces, that is, it can only contain characters "" + "", "" - "", "" X "". Executing a statement means applying the operation it contains. A programme in Bit++ is a sequence of statements, each of them needs to be executed. Executing a programme means executing all the statements it contains. You're given a programme in language Bit++. The initial value of  x  is  0 . Execute the programme and find its final value (the value of the variable when this programme is executed).",800,https://codeforces.com/problemset/problem/282/A,,"The first line contains a single integer n (1 ≤ n ≤ 150) — the number of statements in the programme.Next n lines contain a statement each. Each statement contains exactly one operation (++ or --) and exactly one variable x (denoted as letter «X»). Thus, there are no empty statements. The operation and the variable can be written in any order.","The first line contains a single integer n (1 ≤ n ≤ 150) — the number of statements in the programme.Next n lines contain a statement each. Each statement contains exactly one operation (++ or --) and exactly one variable x (denoted as letter «X»). Thus, there are no empty statements. The operation and the variable can be written in any order.",,Print a single integer — the final value of x.,Print a single integer — the final value of x.,A. Bit++
,"You are given a rectangular board of  M  ×  N  squares. Also you are given an unlimited number of standard domino pieces of  2 × 1  squares. You are allowed to rotate the pieces. You are asked to place as many dominoes as possible on the board so as to meet the following conditions: 1. Each domino completely covers two squares. 2. No two dominoes overlap. 3. Each domino lies entirely inside the board. It is allowed to touch the edges of the board. Find the maximum number of dominoes, which can be placed under these restrictions.",800,https://codeforces.com/problemset/problem/50/A,,In a single line you are given two integers M and N — board sizes in squares (1 ≤ M ≤ N ≤ 16).,In a single line you are given two integers M and N — board sizes in squares (1 ≤ M ≤ N ≤ 16).,,"Output one number — the maximal number of dominoes, which can be placed.","Output one number — the maximal number of dominoes, which can be placed.",A. Domino piling
,"""Contestant who earns a score equal to or greater than the  k -th place finisher's score will advance to the next round, as long as the contestant earns a positive score..."" — an excerpt from contest rules. A total of  n  participants took part in the contest ( n  ≥  k ), and you already know their scores. Calculate how many participants will advance to the next round.",800,https://codeforces.com/problemset/problem/158/A,,"The first line of the input contains two integers n and k (1 ≤ k ≤ n ≤ 50) separated by a single space.The second line contains n space-separated integers a1, a2, ..., an (0 ≤ ai ≤ 100), where ai is the score earned by the participant who got the i-th place. The given sequence is non-increasing (that is, for all i from 1 to n - 1 the following condition is fulfilled: ai ≥ ai + 1).","The first line of the input contains two integers n and k (1 ≤ k ≤ n ≤ 50) separated by a single space.The second line contains n space-separated integers a1, a2, ..., an (0 ≤ ai ≤ 100), where ai is the score earned by the participant who got the i-th place. The given sequence is non-increasing (that is, for all i from 1 to n - 1 the following condition is fulfilled: ai ≥ ai + 1).","In the first example the participant on the 5th place earned 7 points. As the participant on the 6th place also earned 7 points, there are 6 advancers. In the second example nobody got a positive score.",Output the number of participants who advance to the next round.,Output the number of participants who advance to the next round.,A. Next Round
,"Theatre Square in the capital city of Berland has a rectangular shape with the size  n  ×  m  meters. On the occasion of the city's anniversary, a decision was taken to pave the Square with square granite flagstones. Each flagstone is of the size  a  ×  a . What is the least number of flagstones needed to pave the Square? It's allowed to cover the surface larger than the Theatre Square, but the Square has to be covered. It's not allowed to break the flagstones. The sides of flagstones should be parallel to the sides of the Square.",1000,https://codeforces.com/problemset/problem/1/A,,"The input contains three positive integer numbers in the first line: n,  m and a (1 ≤  n, m, a ≤ 109).","The input contains three positive integer numbers in the first line: n,  m and a (1 ≤  n, m, a ≤ 109).",,Write the needed number of flagstones.,Write the needed number of flagstones.,A. Theatre Square
,"Bear Limak wants to become the largest of bears, or at least to become larger than his brother Bob. Right now, Limak and Bob weigh  a  and  b  respectively. It's guaranteed that Limak's weight is smaller than or equal to his brother's weight. Limak eats a lot and his weight is tripled after every year, while Bob's weight is doubled after every year. After how many full years will Limak become strictly larger (strictly heavier) than Bob?",800,https://codeforces.com/problemset/problem/791/A,,The only line of the input contains two integers a and b (1 ≤ a ≤ b ≤ 10) — the weight of Limak and the weight of Bob respectively.,The only line of the input contains two integers a and b (1 ≤ a ≤ b ≤ 10) — the weight of Limak and the weight of Bob respectively.,"In the first sample, Limak weighs  4  and Bob weighs  7  initially. After one year their weights are  4·3 = 12  and  7·2 = 14  respectively (one weight is tripled while the other one is doubled). Limak isn't larger than Bob yet. After the second year weights are  36  and  28 , so the first weight is greater than the second one. Limak became larger than Bob after two years so you should print  2 . In the second sample, Limak's and Bob's weights in next years are:  12  and  18 , then  36  and  36 , and finally  108  and  72  (after three years). The answer is  3 . Remember that Limak wants to be larger than Bob and he won't be satisfied with equal weights. In the third sample, Limak becomes larger than Bob after the first year. Their weights will be  3  and  2  then.","Print one integer, denoting the integer number of years after which Limak will become strictly larger than Bob.","Print one integer, denoting the integer number of years after which Limak will become strictly larger than Bob.",A. Bear and Big Brother
